object_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party
2667,503,66,83,9,862,42,10,42,4,4,4,3,5,16,11,10,Ștefănești,Botoșani,27.197872200000003,47.7885475,862,51.49,g5
2668,1014,1124,262,24,2141,131,16,213,11,24,10,23,12,31,42,19,Ștefăneștii de Jos,Ilfov,26.195613899999998,44.547737100000006,2141,42.01,g5
2669,399,96,73,8,392,81,2,273,6,4,13,23,2,0,2,9,Ștefănești,Vâlcea,24.231325100000003,44.599025700000006,399,28.85,g1
2670,190,61,41,12,305,15,2,34,10,9,7,4,3,5,2,4,Ștefan Vodă,Călărași,27.3289852,44.3484383,305,43.32,g5
2671,239,138,73,10,236,44,11,55,9,4,4,6,1,6,4,1,Ștefești,Prahova,25.8690529,45.2789421,239,28.42,g1
2672,684,402,174,31,1030,133,15,70,12,4,6,11,3,11,17,121,Ștei,Bihor,22.4683323,46.537769299999994,1030,37.81,g5
2673,241,52,40,4,183,19,7,110,2,4,0,14,2,1,2,2,Stejari,Gorj,23.6954784,44.7691231,241,35.29,g1
2674,876,38,19,8,95,13,0,18,1,3,4,1,0,1,1,1,Stejaru,Teleorman,24.8581715,44.180702200000006,876,81.19,g1
2675,269,39,31,2,114,140,2,24,1,4,0,1,1,5,5,3,Stejaru,Tulcea,28.5236053,44.7871971,269,41.97,g1
2676,306,69,22,7,181,8,6,30,3,4,7,1,0,4,1,9,Stelnica,Ialomița,27.942161600000002,44.4028168,306,46.5,g1
2677,941,279,226,14,521,105,9,88,10,6,19,7,3,14,43,7,Stîlpeni,Argeș,25.002708399999996,45.0568123,941,41.06,g1
2678,601,141,112,7,244,67,9,38,5,5,4,4,3,16,13,4,Stîlpu,Buzău,26.7182217,45.074611700000005,601,47.21,g1
2679,131,49,32,63,184,13,1,38,4,4,3,6,3,8,26,4,Stînceni,Mureș,25.2334957,46.94627,184,32.34,g5
2680,424,35,18,2,113,47,0,12,2,3,1,1,1,0,1,0,Stîngăceaua,Mehedinți,23.317052800000003,44.610569,424,64.24,g1
2681,273,71,71,8,258,25,14,33,2,0,4,4,1,3,8,13,Știubieni,Botoșani,26.772871000000002,47.9876862,273,34.64,g1
2682,71,41,19,4,638,8,1,56,0,1,4,12,0,2,2,34,Știuca,Timiș,21.9848175,45.554966,638,71.44,g5
2683,536,309,115,9,422,38,4,127,6,7,4,2,5,8,6,30,Stoenești,Argeș,25.230100600000004,45.2702065,536,32.92,g1
2684,909,68,55,8,189,151,0,28,13,9,3,2,1,5,6,5,Stoenești,Giurgiu,25.8978844,44.1300316,909,62.6,g1
2685,404,100,72,7,157,20,7,28,11,4,3,17,1,0,11,2,Stoenești,Olt,24.477869000000002,44.1003304,404,47.87,g1
2686,462,148,73,10,534,60,5,53,7,8,4,9,2,8,1,3,Stoenești,Vâlcea,24.1634827,45.1498642,534,38.5,g5
2687,384,63,26,4,196,23,1,19,1,1,1,1,0,7,3,1,Stoicănești,Olt,24.650779699999998,44.220485700000005,384,52.53,g1
